"Infosys CEO Salil Parekh is the highest paid IT CEO in FY20 compared to Wipro, TCS",https://www.moneycontrol.com/news/business/infosys-ceo-salil-parekh-ishighest-paid-it-ceofy20-compared-to-wipro-tcs_13851741.html,02 Jun 2020,6.50 pm
Infosys CEO Salil Parekh's pay package grows 39% YoY in FY20,https://www.moneycontrol.com/news/business/infosys-ceo-salil-parekh39s-pay-package-grows-39-yoyfy20_13851001.html,02 Jun 2020,4.28 pm
Is the constant revolving door at Wipro a reason for its sluggish growth?,https://www.moneycontrol.com/news/business/isconstant-revolving-door-at-wiproreason-for-its-sluggish-growth_13845701.html,01 Jun 2020,9.45 pm
"India's top 100 brands: TCS, Infosys, HCL retain positions in top 10  IT firms, Wipro slips to 11",https://www.moneycontrol.com/news/it/india39s-top-100-brands-tcs-infosys-hcl-retain-positionstop-10it-firms-wipro-slips-to-11_13842221.html,01 Jun 2020,9.00 am
"COVID-19 impact: As AGMs go virtual, shareholders worry about management controls",https://www.moneycontrol.com/news/business/covid-19-impact-as-agms-go-virtual-shareholders-worry-about-management-controls_13840021.html,30 May 2020,4.29 pm
COVID-19 impact | Swanky IT campuses may not lose value despite work from home buzz,https://www.moneycontrol.com/news/business/covid-19-impact-|-swanky-it-campuses-may-not-lose-value-despite-workhome-buzz_13804061.html,21 May 2020,7.48 pm
COVID-19 impact | Touchless technology is the future. But are we ready?,https://www.moneycontrol.com/news/technology/covid-19-impact-|-touchless-technology-isfuture-butwe-ready_13790201.html,18 May 2020,5.40 pm
Coronavirus impact | Indian IT firms may lose revenue as US retail clients struggle to run business: Report,https://www.moneycontrol.com/news/it/coronavirus-impact-|-indian-it-firms-may-lose-revenue-as-us-retail-clients-struggle-to-run-business-report_13773901.html,14 May 2020,11.35 am
"Infosys, NICE Actimize to expand collaboration",https://www.moneycontrol.com/news/business/infosys-nice-actimize-to-expand-collaboration_13771581.html,13 May 2020,6.50 pm
Buy Infosys; target of Rs 750: ICICI Direct,https://www.moneycontrol.com/news/recommendations/buy-infosys-targetrs-750-icici-direct_13739701.html,05 May 2020,3.30 pm
"In the post-COVID-19 world, subcontractors could be more in demand",https://www.moneycontrol.com/news/it/inpost-covid-19-world-subcontractors-could-be-moredemand_13714101.html,27 Apr 2020,6.56 pm
"COVID-19: We'll come out stronger from this situation, says Infosys CEO Salil Parekh",https://www.moneycontrol.com/news/business/covid-19-we39ll-come-out-strongerthis-situation-says-infosys-ceo-salil-parekh_13704641.html,23 Apr 2020,8.20 pm
"In a post COVID-19 world, less business travel could be the new normal",https://www.moneycontrol.com/news/business/inpost-covid-19-world-less-business-travel-could-benew-normal_13700301.html,22 Apr 2020,8.00 pm
"Infosys Q4 analyst call highlights: Client discussions hint at vendor consolidation, may result in better medium-term show",https://www.moneycontrol.com/news/results/infosys-q4-analyst-call-highlights-client-discussions-hint-at-vendor-consolidation-may-resultbetter-medium-term-show_13694801.html,21 Apr 2020,4.25 pm
"IT stocks correct after disappointing earnings by Infosys, Nomura cuts HCL Tech target",https://www.moneycontrol.com/news/buzzing-stocks/it-stocks-correct-after-disappointing-earnings-by-infosys-nomura-cuts-hcl-tech-target_13693881.html,21 Apr 2020,12.58 pm
Infosys slips nearly 4% post Q4 results; brokerages maintain buy,https://www.moneycontrol.com/news/buzzing-stocks/infosys-slips-nearly-4-post-q4-results-brokerages-maintain-buy_13692901.html,21 Apr 2020,9.35 am
"Infosys – Near term clouded, but brighter light at the end of the tunnel",https://www.moneycontrol.com/news/business/infosys-–-near-term-cloudedbrighter-light-atendthe-tunnel_13692621.html,21 Apr 2020,8.36 am
Coronavirus lockdown | IT companies to continue work from home for next few weeks,https://www.moneycontrol.com/news/business/coronavirus-lockdown-|-it-companies-to-continue-workhome-for-next-few-weeks_13692661.html,21 Apr 2020,8.36 am
Freshers' training at Infosys goes virtual amid coronavirus pandemic,https://www.moneycontrol.com/news/business/freshers39-training-at-infosys-goes-virtual-amid-coronavirus-pandemic_13692061.html,20 Apr 2020,10.01 pm
Infosys misses FY20 revenue guidance; 8 takeaways from company's Q4 scorecard,https://www.moneycontrol.com/news/results/infosys-misses-fy20-revenue-guidance-8-takeawayscompany39s-q4-scorecard_13691421.html,20 Apr 2020,6.29 pm
"Infosys Q4: Profit at Rs 4,321 cr, dollar revenue misses estimates, company skips guidance",https://www.moneycontrol.com/news/results/infosys-q4-profit-at-rs-4321-cr-dollar-revenue-misses-estimates-company-skips-guidance_13691241.html,20 Apr 2020,5.26 pm
Infosys shares jump 4% ahead of Q4 earnings,https://www.moneycontrol.com/news/buzzing-stocks/infosys-shares-jump-4-aheadq4-earnings_13689281.html,20 Apr 2020,9.42 am
Infosys to report Q4 numbers today; here's what to watch for,https://www.moneycontrol.com/news/result-poll/infosys-to-report-q4-numbers-today-here39sto-watch-for_13688081.html,19 Apr 2020,1.37 pm
Market Week Ahead: 10 key factors that will keep traders busy,https://www.moneycontrol.com/news/market-edge/market-week-ahead-10-key-factors-that-will-keep-traders-busy_13687821.html,19 Apr 2020,8.05 am
Infosys sacks employee over objectionable 'Coronavirus' post,https://www.moneycontrol.com/news/business/infosys-sacks-employee-over-objectionable-39coronavirus39-post_13621341.html,27 Mar 2020,10.09 pm
